country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","15-07-2026 16:00:00",26.2271665,84.3570427,SO2,6,10,8
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","15-07-2026 16:00:00",30.751462,76.762879,SO2,6,9,7
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","15-07-2026 16:00:00",30.751462,76.762879,CO,14,24,19
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","15-07-2026 16:00:00",30.735567,76.775714,PM10,46,103,71
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","15-07-2026 16:00:00",30.735567,76.775714,CO,33,42,37
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","15-07-2026 16:00:00",30.719859,76.738637,OZONE,13,32,23
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-07-2026 16:00:00",25.376776,86.471523,NH3,2,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-07-2026 16:00:00",25.376776,86.471523,CO,31,42,36
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","15-07-2026 16:00:00",26.11442,85.39813,CO,12,24,20
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","15-07-2026 16:00:00",26.1209,85.3647,OZONE,7,18,14
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-07-2026 16:00:00",26.1403345,85.3650192,PM10,29,44,39
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-07-2026 16:00:00",26.1403345,85.3650192,CO,63,104,87
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-07-2026 16:00:00",26.1403345,85.3650192,OZONE,22,68,50
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","15-07-2026 16:00:00",25.592539,85.227158,SO2,12,13,12
India,"Andhra Pradesh",Vijayawada,"Kanuru, Vijayawada - APPCB","15-07-2026 16:00:00",16.486692,80.699436,SO2,13,25,18
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","15-07-2026 16:00:00",16.536107,80.594233,PM2.5,57,72,64
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-07-2026 16:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","15-07-2026 16:00:00",26.071318,91.87488,PM10,37,124,79
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","15-07-2026 16:00:00",26.071318,91.87488,OZONE,11,36,26
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","15-07-2026 16:00:00",26.181742,91.78063,PM10,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","15-07-2026 16:00:00",26.181742,91.78063,NH3,1,1,1
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","15-07-2026 16:00:00",16.711754,81.092095,NH3,2,7,4
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","15-07-2026 16:00:00",16.711754,81.092095,SO2,7,21,11
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-07-2026 16:00:00",14.465052,78.824187,NO2,21,34,24
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","15-07-2026 16:00:00",15.83411,78.028546,NH3,5,5,5
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","15-07-2026 16:00:00",15.83411,78.028546,SO2,10,12,10
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","15-07-2026 16:00:00",15.83411,78.028546,CO,6,12,9
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","15-07-2026 16:00:00",16.186555,81.13219,CO,7,21,15
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","15-07-2026 16:00:00",16.5150833,80.5181667,OZONE,25,53,45
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","15-07-2026 16:00:00",14.675886,77.593027,PM10,49,233,77
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","15-07-2026 16:00:00",14.675886,77.593027,SO2,12,18,13
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","15-07-2026 16:00:00",14.675886,77.593027,CO,21,28,25
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-07-2026 16:00:00",13.20488,79.097889,CO,13,22,15
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","15-07-2026 16:00:00",28.56789,77.250515,NH3,5,9,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","15-07-2026 16:00:00",28.56789,77.250515,OZONE,21,43,33
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","15-07-2026 16:00:00",28.62181,77.1944633,NH3,2,7,4
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-07-2026 16:00:00",28.7762,77.051074,PM10,91,271,135
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-07-2026 16:00:00",28.7762,77.051074,NO2,2,7,4
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-07-2026 16:00:00",28.7762,77.051074,CO,28,82,55
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","15-07-2026 16:00:00",28.710508,77.249485,NO2,1,14,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","15-07-2026 16:00:00",28.710508,77.249485,NH3,12,16,13
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","15-07-2026 16:00:00",28.710508,77.249485,SO2,1,3,2
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","15-07-2026 16:00:00",28.493624,77.201159,OZONE,7,14,11
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","15-07-2026 16:00:00",23.076793,72.627874,SO2,3,23,7
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","15-07-2026 16:00:00",23.041137,72.456691,PM2.5,33,83,55
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","15-07-2026 16:00:00",23.041137,72.456691,NH3,2,3,2
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","15-07-2026 16:00:00",23.002657,72.591912,NO2,33,35,34
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","15-07-2026 16:00:00",23.002657,72.591912,SO2,9,34,21
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-07-2026 16:00:00",28.615828,77.271992,NH3,NA,NA,NA
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-07-2026 16:00:00",28.615828,77.271992,SO2,6,10,8
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-07-2026 16:00:00",28.628624,77.24106,PM2.5,33,64,46
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-07-2026 16:00:00",28.628624,77.24106,NO2,29,82,57
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-07-2026 16:00:00",28.628624,77.24106,SO2,21,35,26
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","15-07-2026 16:00:00",28.563262,77.186937,PM2.5,32,92,54
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","15-07-2026 16:00:00",28.563262,77.186937,NO2,16,88,36
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","15-07-2026 16:00:00",28.563262,77.186937,SO2,12,100,27
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","15-07-2026 16:00:00",28.5504249,77.2159377,NH3,3,6,4
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","15-07-2026 16:00:00",28.5504249,77.2159377,OZONE,12,24,17
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","15-07-2026 16:00:00",28.54246,77.191651,PM10,93,321,188
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","15-07-2026 16:00:00",28.54246,77.191651,NH3,NA,NA,NA
